Month,T,KUnits,S&P,Qtr,Q1,Q2,Q3,Q4
Jan-90,1,99.2,329.08,Q1,1,0,0,0
Feb-90,2,86.9,331.89,Q1,1,0,0,0
Mar-90,3,108.5,339.94,Q1,1,0,0,0
Apr-90,4,119,330.8,Q2,0,1,0,0
May-90,5,121.1,361.23,Q2,0,1,0,0
Jun-90,6,117.8,358.02,Q2,0,1,0,0
Jul-90,7,111.2,356.15,Q3,0,0,1,0
Aug-90,8,102.8,322.56,Q3,0,0,1,0
Sep-90,9,93.1,306.05,Q3,0,0,1,0
Oct-90,10,94.2,304,Q4,0,0,0,1
Nov-90,11,81.4,322.22,Q4,0,0,0,1
Dec-90,12,57.4,330.22,Q4,0,0,0,1
Jan-91,13,52.5,343.93,Q1,1,0,0,0
Feb-91,14,59.1,367.07,Q1,1,0,0,0
Mar-91,15,73.8,375.22,Q1,1,0,0,0
Apr-91,16,99.7,375.34,Q2,0,1,0,0
May-91,17,97.7,389.83,Q2,0,1,0,0
Jun-91,18,103.4,371.16,Q2,0,1,0,0
Jul-91,19,103.5,387.81,Q3,0,0,1,0
Aug-91,20,94.7,395.43,Q3,0,0,1,0
Sep-91,21,86.6,387.86,Q3,0,0,1,0
Oct-91,22,101.8,392.45,Q4,0,0,0,1
Nov-91,23,75.6,375.22,Q4,0,0,0,1
Dec-91,24,65.6,417.09,Q4,0,0,0,1
Jan-92,25,71.6,408.78,Q1,1,0,0,0
Feb-92,26,78.8,412.7,Q1,1,0,0,0
Mar-92,27,111.6,403.69,Q1,1,0,0,0
Apr-92,28,107.6,414.95,Q2,0,1,0,0
May-92,29,115.2,415.35,Q2,0,1,0,0
Jun-92,30,117.8,408.14,Q2,0,1,0,0
Jul-92,31,106.2,424.21,Q3,0,0,1,0
Aug-92,32,109.9,414.03,Q3,0,0,1,0
Sep-92,33,106,417.8,Q3,0,0,1,0
Oct-92,34,111.8,418.68,Q4,0,0,0,1
Nov-92,35,84.5,431.35,Q4,0,0,0,1
